,Tweet,Target,Stance,Opinion Towards,Sentiment
402,god call change people job call share gospel #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
403,god faithful gospel powerful spirit transform #church #semst #sunday,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
404,fill holy spirit begin speak foreign tongue holy spirit prompt speak #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
405,read mother fucking book human write #semst #religiousfreedom #humanslie,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
406,establishment clause set country apart prevent radical religious zealot take charge respect #semst,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
407,work except judgement mexican american #socialjustice #happy #buddhism #semst #worldpeace #freedom,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
408,lot fun hearing talk new book #sacredcows. #godlessgala #semst,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
409,shout mountain top scream name praise christian church worship #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
410,belief cruel god make cruel man thomas paine #islam #semst #christianity #sacrilegesu...,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
411,hour need buy well weed #semst #weed,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
412,happy sun day friend find god sit breathe deeply count delusion pass #semst,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
413,proud many multi colour profile picture see social medium past day awesome view #semst #lgbtrights,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
414,religion teach satisfied understand world #semst,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
415,verily verily say unto servant great lord john kjv #lordoflords #semst #kingofkings,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
416,pair hand work gether far well thousand hand clasp prayer #semst #freedomfromreligion,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
417,jesus write song praise #wewrite #semst #songs #praiseyou,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
418,religion recognition duty divine command immanuel kant #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
419,prayer useless waste unheard #powerofprayer #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
420,good morning praise lord mercy endure forever #homosexuality #hallelujah #repent #semst #usa #praisethelord #jesusislord,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
421,think message offend people must tell god word change live #truth #semst #power,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
422,like ban ffaf freedom atheism foundation facebook guess harsh comment #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
423,thought family lose someone tunisia shoot glad shoot spot #semst #terrorist #tunisia,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
424,happy mortal lose honestly #sundayfunday #semst #icouldusealittlemorecowbell! #lovewins #fsm #atheists,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other
425,aspire join chat moral decision feature heavily topic #scotusmarriage #semst #warriors #lovewins,Atheism,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",pos
426,balance religion harm good #semst #freethinker,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
427,blind see amazing moment time celebrate religious zealot #semst #lovewins,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
428,moral landscape age billion reflection billion personal idea billion pleasure billion comfort #semst #bankrupt,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
429,african american go church realize make believe god support slavery #semst,Atheism,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
430,go church african americans realize make believe god support slavery #confed2015 #semst,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
431,take hold authority christ take back enemy steal #life #authority #calling #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
432,jesus altogether lovely lord altogether lovely lifeandbuildingasportrayedinthesongofsong #semst #lord #jesus,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
433,see essential festival brighton #semst #khole,Atheism,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",other
434,grow watch david attenborough part reason feel way planet despise religion #semst,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
435,hate try create something new get shut something old #life #syfy #creative #semst,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
436,religion like booger face earth atheist tissue #church #god #semst #pray,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
437,lack favor life favor lord surround shield #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
438,wish lad would mature past christianity like get science education sotheyr stick #semst #u2ietour,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
439,light call light call darkness fear christ lead #newyork #semst #miami #chicago,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
440,support equality myth something get mess #semst,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
441,religion bloody man make cause mankind hateful control give #semst,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
442,love find perfect person learn see imperfect person perfectly #semst #love,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
443,bless come name lord house lord bless psalm #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
444,bible expo truthcaster com please come thank #expo #semst #truths #bible,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
445,dominance become evident smartphone type allah akbar #islam #semst #ramadan. #ramayana,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
446,daily time god word yield last freedom #semst #assurance,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
447,utterly stupid useless anyway #semst #democracy #liberalism,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
448,proud announce guest honor year halloween party hunger task force food drive #semst,Atheism,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",pos
449,discriminate base religion ready discriminate religion #semst,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
450,know god hand everything leave everything god hand rest #peace #semst #rest,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
451,jesus perform great miracle people still could believe believe faith belief #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
452,shivaji maharaj pathans muslim soldier two muslim bodyguard stop glorify anti muslim idiot bhakts #semst,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
453,dumb politician obligate sprinkle religious language talk constituent #semst,Atheism,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
454,peace leave peace give john #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
455,faithful faithful #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
456,today help god remember let good day god full joy love aman #god #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
457,enemy threaten faith decide live #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
458,take trouble lord cry answer prayer psalm #signposts #semst #powerofprayer,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
459,adequate number pls consider estab volunteer fire picket #semst #whoisburningblackchurches,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other
460,night watcheasy set stagger picket google work well #semst #whoisburningblackchurches,Atheism,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",neg
461,believe control mean need stress worry #god #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
462,god religion make folk antiquity help explain thing #semst #freethinker,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
463,corinthians faith hope love abide three great love #god #hope #semst #bible #love,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
464,god name god really another god #semst #freethinker,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
465,choice show truly far ability albus dumbledore harry potter #semst #humanist,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
466,sane person advocate positive change world would religion easy see damage #semst,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
467,thou shalt boil kid mother milkexodus thank god atheist #god #christianity #fundamentia #bibleverses #semst,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
468,incline ear therefore call upon long live #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
469,help find truth religion #judaism #christianity #whatiknowaboutislam #buddhism #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
470,faith mean believe something without evidence justify anything #semst #scary,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
471,cor stand firm always give fully work labor lord vain #lord...your #god #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
472,happiness pursuit life liberty #theism #semst #futurism #thelupol,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
473,everybody know except #presstitutes #semst,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
474,man god humble spirit retain honor prov #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
475,restore joy salvation grant willing spirit sustain psalm niv #semst #wordoflife,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
476,crucifixion lead world thing start #darkages? #salvation #skepticism #christ #semst,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
477,catholic proud god fear bible believe justice defend faith nation #semst #scotus #tcot,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
478,fuck could george michael circa #semst #flashbackfuck,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
479,god bless dollar aid ebola rip kids africa black ass pay cable bill gawd #semst,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
480,lord let prosper like abraham gen #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
481,weeping may endure night joy come morning may go midnight hour morning come #god #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
482,judge something humane ask feel happen #semst #beagoodfuckingperson,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
483,go worth go work #semst,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
484,wait time never right #thoughtoftheday #semst #justdoit,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
485,religion lie collective apophenia need certain condition keep disappear #semst,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
486,religion cause arrest social development stop sense century ago #semst,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
487,yes beautiful mammal world well around #semst #universalloveandalsotacos,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
488,sake name lord revive righteousness bring soul trouble #semst #revival,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
489,god rejoice manifest faith hold word smith wigglesworth devotional #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
490,hallelujah overcome overcome jesus overcome world victor heart day #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
491,angel god pray direct step protect evil strive god daily life #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
492,take away hatred people man without faith eric hoffer #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
493,jesus worth whatever even seem alone encourage #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
494,true faith belief reality absolute value william ralph inge #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
495,pain setback part life stay faith put question mark put period #god #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
496,jesus peace #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
497,allow enemy abort plan god life #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
498,put politician physician #parentalrights #sb277 #semst #shameonyou,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
499,lord hope always trust #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
500,forgot release bind historical fiction #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
501,dream end religion #atheistrollcall #ap666 #freethinker #semst #freedom #teamatheist,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
502,two hand work thousand clasped prayer madalyn murray hair #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
503,man make ideology always flawed due man limitation bias #semst #muslimssalvageyourselves,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
504,know amendment place cause politician ignore #constitution. #ccot #pjnet #tcot #sot #semst #bcot #2ndamendment,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
505,faith impossibility believe happen #semst,Atheism,AGAINST,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",pos
506,amen amen lamb god worthy praise #hallelujah #us #christians #church #semst #praisethelord,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
507,bigote much doubt pink tight matching feather see whole non thing #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
508,anyone feel ache think take strong know #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
509,sentence postcard future version say hello #spirituality #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
510,fail already win call quit god believe #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
511,good know disagree spirituality asit take away frm realize human condition must focus reality #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
512,fool prayer wicked useless #semst #user,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
513,nothing worry trust jesus christ alone savior sin #semst #friendofsi...,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
514,see invisible impossible #semst #seethegrapes,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
515,come wait discover #golds #empirefox #humble #semst #suppertalented #motivation #dreamer,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
516,mathew jesus reach hand touch leper willing unlovable #christ #semst #love,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
517,bible study start mercy triumph tonight feel next week amazing #semst #believers #brothers,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
518,sinner need savior #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
519,follow lead along path newness way never imagine #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
520,take water life freely rev #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
521,hope one hurt #endracism #semst #whoisburningblackchurches #lovewins,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
522,break curse death speak america people nation name jesus #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
523,fill church holy fascination man christ jesus need #magnificent #onething #obsession #worthy #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
524,school serve soya bean milk school instead egg outrage #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
525,credit rating would give debtor win pay back unless dead #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
526,like green olive tree house god trust mercy god forever ever #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
527,president would institute christian version sharia law #askbobby #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other
528,friend look forward #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
529,everything life long pleasing always void heart #god #semst,Atheism,AGAINST,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",pos
530,meanwhile whilst attempt distract continue quest succeed #antisatan #semst #antibibles,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
531,get make mind go trust god guide matter look like #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
532,know prayer promote public like #abed #schools #semst #ftsask #christianprivilege #taber #glendon,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
533,ohh think seculr nice friend #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
534,instead let quick word prayer start try let quick pray start #semst #fca #undefeated,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
535,pray hedge protection around mind body finance possession family name jesus #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
536,spend time god presence burden carry transfer shoulder capable one #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
537,important thing world important family please god test produce undeniable faith #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
538,reason people believe bible koran talmud etc ignorance lack education poverty intelligence #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
539,bha conference bristol great success member attendance #semst #bha2015,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
540,great meet staff well understand role help local group #semst #bha2015,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
541,award humanist year gala dinner even sign book #semst #bha2015,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
542,look forward birmingham #semst #bha2015 #bha2016,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
543,bless almighty god almighty holy spirit messiah #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
544,ignorance people get love learn love well #loveyourneighbor #peace #endracism #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
545,hope begin face reality god love unconditionally matter #peace #wakeupamerica #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
546,maher comedian nothing unfortunately good comedian #islam #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
547,reason believe god attack waterbug shudder #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
548,never control confront self problem pastor merritt #church #christian #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
549,humble therefore mighty hand may exalt due time peter kjv #god #semst #holybible,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
550,secularism secularism go say one time secularism learn #semst #religiousfreedom #freedomfromreligion,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
551,hand heart much true life apart #semst #laymedown,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
552,could never take idea religion seriously joyce carol oate #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
553,faith activate god fear activate enemy joel osteen #quotes #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
554,father art heaven hallow thy name thy kingdom come thy earth heaven #rosary #teamjesus #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
555,seek whole genuine truth listen wisdom speak catch heart beat abide well reside #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
556,prayer gift trust walk blessing #relationshipiskey #gettoknowhim #semst #yeshua #keepwalkingbyfaith,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
557,problem everyone sensationalise news crazy people forget #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
558,atheist believe satan either satanist put sacrifice beer #semst #beer,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
559,interestingly burn wife alive suspect chastity great justice ram style #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
560,donkey elephant lamb lamb slay resurrect save america behold lamb #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
561,work end domination bell hook #civilrights #semst #feminism,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
562,today idea face christ already supply everything need #god #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
563,use intrigue god angel nowadays everybody work cloud #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
564,one day make sense trust god let lead #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
565,"leave real country graft instal #material #ummah,#hadith #semst #devastation #spiritual",Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
566,need prayer encouragement please call prayerline bless #prayerchangesthings #god #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
567,make law base #religion. #semst #america,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
568,personally know many christian john simms #truth #agnostic #spirituality #stlouis #semst #reality,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
569,humanist mean try behave decently without expectation reward punishment dead kurt vonnegut #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
570,dear real issue maha govt decision court let decide #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
571,dear really concerned maha govt decision court let decide #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other
572,may suggest good way fight advocate #lalitgate #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
573,malden night @ #gamenight #semst #freethought #none #humanist #community,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other
574,may heart firmly fix trust lord shall falter fail may breath guide sail #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
575,believe god bad moment #here #god #always #semst #trust,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
576,believe often religious people good reason non religious give undo credit faith #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other
577,allow enemy control appetite yield appetite control holy spirit #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
578,secularism sure way prevent nightmare religious boot stamp human face forever #semst #freedom,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
